day,attendance,meals_served,waste_kg
0,137,221,43.11242089839221
1,164,125,19.1863004530193
2,106,126,16.964452331861395
3,176,242,28.047904392929453
4,222,207,46.10796841603161
5,209,97,10.785453669791139
6,188,167,20.566898187210775
7,116,163,41.71490042492067
8,136,140,32.434478619594714
9,113,187,40.648672663602206
10,205,276,14.5220708061357
11,127,258,31.570555437143764
12,238,143,35.38088644474349
13,229,200,44.501127345057235
14,150,252,15.011358858371455
15,171,164,30.16729367559482
16,273,231,44.31719049875796
17,258,209,32.61134821972651
18,267,178,36.97366554438191
19,236,227,37.31689345592574
20,265,273,21.68694806683713
21,238,270,24.23497903347702
22,125,205,34.273949887009096
23,193,194,23.693837592358367
24,231,209,14.11164500140792
25,298,208,38.18915593283652
26,123,99,43.55874096502212
27,209,115,31.385943805353776
28,263,216,13.0668958439891
29,239,230,40.472211890743246
30,272,243,47.59510579206698
31,120,181,40.36999761105515
32,225,125,29.973474812794116
33,224,265,33.708906520715004
34,175,274,8.447922452214604
35,104,94,11.642669385857792
36,107,142,29.096423088559337
37,150,278,22.235324247184877
38,240,168,10.562549213088404
39,135,113,22.971137841519536
40,246,124,34.40936314505932
41,217,136,7.375364041290094
42,127,217,8.993156601567485
43,264,268,40.770007638036375
44,203,158,16.070397922251384
45,181,208,30.98980281861963
46,196,231,21.007086355038005
47,248,272,21.423848489203674
48,284,210,31.718761343543544
49,112,190,46.23798152412525
50,223,262,25.906935007881824
51,177,264,6.314805142984953
52,281,207,27.23263587569744
53,227,94,48.726658564225204
54,116,100,15.538842423790532
55,259,153,40.50773291124869
56,229,98,45.042375297867075
57,261,144,22.436272372430267
58,176,183,30.14308507976235
59,155,211,27.69995034032466
60,206,139,14.180358554192464
61,245,98,35.13457043803369
62,268,203,20.806109636041747
63,210,277,36.5387799331276
64,189,125,46.5908939332725
65,100,189,39.61783978299745
66,223,111,33.64713092026223
67,198,228,46.78027730707861
68,128,116,33.9058171071987
69,261,267,7.010011803370085
70,190,278,7.158088336407163
71,286,145,47.329708782214865
72,188,129,9.207839780612877
73,211,232,25.521666560423697
74,242,127,21.456361535042326
75,224,112,9.922246044685936
76,279,109,44.85584590827891
77,186,191,18.180326898781807
78,286,258,41.94488509463774
79,255,162,39.207372334682915
80,188,200,33.46705757921926
81,165,115,6.900642208056292
82,167,104,47.564970854316705
83,155,153,33.17301406033395
84,205,252,24.305562961712514
85,117,193,49.11885086571152
86,191,188,17.69698232399569
87,119,237,26.222072730320757
88,234,105,48.55553939012601
89,277,159,20.590529595657152
90,104,121,43.9193266098884
91,133,149,28.797572685537926
92,102,254,18.3810510616037
93,194,278,36.996391175684366
94,220,220,29.146565301376683
95,100,202,23.568982558482766
96,125,271,11.286769374662773
97,202,268,40.76339498980361
98,219,142,9.679422284381745
99,230,219,20.94682977358127
